Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate
S01006506,Culter,Aberdeen City,894,580,8%,71,8%,49,65,29,30,70,13%,0.00,74,85%,5.88,53,0%,30%,2.540103211,3.074294725,1.616238532,2.615747423,1.544260321,9.930833333,8.86358945,5.856135321,6.023405963,11%,11,125,87,10,10%,1%
S01006507,Culter,Aberdeen City,793,470,5%,43,5%,25,45,130,126,81,14%,0.00,86,85%,5.96,96,2%,12%,3.91507177,4.309811603,2.555858254,3.64669697,2.8496561,11.04281609,9.978271531,7.515,7.926028708,1%,10,128,85,4,10%,0%
S01006508,Culter,Aberdeen City,624,461,6%,40,4%,19,45,71,18,41,13%,0.04,69,90%,5.75,39,1%,19%,3.323024883,3.784548989,1.440991446,3.247325103,2.062255054,10.61676829,8.620699844,4.321493002,5.770909798,1%,8,130,31,8,5%,1%
S01006509,Culter,Aberdeen City,537,307,10%,52,8%,26,80,80,28,103,16%,0.05,88,94%,6.20,80,0%,25%,2.622991379,2.778025862,2.620681034,1.936907895,2.160142241,10.03647059,7.935112069,8.433327586,8.329818966,11%,4,75,42,6,7%,1%
S01006510,Culter,Aberdeen City,663,415,10%,68,8%,32,95,89,44,139,22%,0.05,89,80%,5.87,77,6%,16%,2.115003882,2.358334627,2.408416149,1.845671642,1.784635093,9.65,5.568963509,6.966428571,6.632608696,0%,11,168,50,7,9%,1%
S01006511,Culter,Aberdeen City,759,453,4%,30,4%,17,50,55,0,54,12%,0.13,73,90%,5.79,54,2%,13%,1.516910786,1.769580559,3.227433422,2.517456897,2.593052597,8.614008264,4.934953395,7.66855526,7.340099867,5%,*,*,27,8,4%,1%
S01006512,Culter,Aberdeen City,539,345,2%,13,2%,8,40,29,0,41,11%,0.06,55,93%,5.86,27,0%,15%,5.365871869,5.776136802,3.909219653,5.374183673,4.277914258,12.2152381,19.01185934,16.25665703,16.96018304,54%,7,132,27,9,5%,2%
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,2%,14,3%,13,40,28,0,138,21%,0.00,72,94%,6.10,40,3%,28%,3.573032407,4.322546296,5.524486883,1.945431034,4.910960648,6.262142857,11.26949074,10.98277392,11.09934414,3%,*,*,15,4,3%,1%
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,2%,17,2%,12,25,18,0,107,12%,0.08,59,94%,6.50,19,1%,22%,2.722303452,3.517337009,4.693964525,2.889620253,4.061291946,7.039017857,9.742909875,10.00215724,9.730057526,14%,9,81,10,3,1%,0%
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,1%,5,1%,7,25,23,0,34,10%,0.00,58,96%,6.00,15,0%,20%,4.444311024,5.177401575,6.337329396,3.063817734,5.78468832,6.878787129,17.18346129,17.09095472,17.02836614,22%,*,*,29,1,4%,0%
S01006516,"Cults, Bieldside and Milltimber West",Aberdeen City,629,419,2%,14,3%,14,35,19,0,34,8%,0.10,42,*,6.18,24,0%,13%,4.675375,4.139541667,5.934569444,3.918613861,6.009680556,5.953293413,9.590643519,10.14486111,11.5089537,22%,8,129,12,1,3%,0%
S01006517,"Cults, Bieldside and Milltimber West",Aberdeen City,1052,646,2%,24,4%,24,40,31,16,63,13%,0.00,69,92%,6.00,25,1%,35%,6.506306706,3.228658777,3.664191321,4.761158537,8.88293146,2.994635922,12.55568787,12.47737549,20.90167776,26%,8,77,39,9,4%,1%
S01006518,"Cults, Bieldside and Milltimber East",Aberdeen City,664,370,1%,7,1%,4,20,11,57,43,9%,0.08,48,*,6.50,14,0%,30%,6.268999203,3.727200957,4.52180622,4.624166667,7.606200159,3.730855856,10.02149522,8.163209729,13.49807815,7%,*,*,2,0,0%,0%
S01006519,"Cults, Bieldside and Milltimber East",Aberdeen City,941,560,2%,19,2%,13,30,4,37,66,9%,0.00,57,94%,6.61,29,0%,32%,7.274364162,3.673436416,4.419797688,3.606640625,8.611687861,2.548541667,13.87457225,12.00170231,18.20161272,30%,7,75,12,0,1%,0%
S01006520,"Cults, Bieldside and Milltimber East",Aberdeen City,875,559,1%,10,1%,5,15,25,37,30,7%,0.05,61,95%,6.40,4,0%,22%,7.329286694,4.131340878,4.880294925,4.243655303,8.693045267,3.603938547,17.05100823,15.17682442,21.22265432,0%,*,*,12,0,2%,0%
S01006521,"Cults, Bieldside and Milltimber East",Aberdeen City,793,512,1%,5,1%,5,20,5,0,56,7%,0.05,46,94%,6.28,18,2%,29%,5.096502259,3.876603916,2.869096386,4.425,7.081193524,3.989607843,15.88829819,13.70700301,22.9378012,4%,5,64,9,0,1%,0%
S01006522,"Cults, Bieldside and Milltimber East",Aberdeen City,675,412,0%,0,1%,2,15,12,0,67,7%,0.00,66,*,6.50,16,0%,26%,5.800810105,3.573819686,2.144168118,5.052156863,7.886459059,3.509772727,10.82259146,8.406219512,18.79038328,1%,3,45,7,2,1%,0%
S01006523,"Cults, Bieldside and Milltimber East",Aberdeen City,957,571,3%,29,2%,12,40,51,0,65,10%,0.03,62,94%,6.21,12,0%,28%,6.339970776,2.804391605,1.875868757,5.568706468,8.112104145,2.739502924,7.806721573,5.124808714,15.75278162,1%,10,106,18,8,2%,1%
S01006524,"Cults, Bieldside and Milltimber East",Aberdeen City,1056,629,10%,107,9%,58,90,76,32,124,15%,0.00,67,*,6.53,70,6%,20%,6.682634026,2.101591904,2.427705142,5.132513812,7.8547593,2.187345679,6.600771335,5.694649891,13.88874179,0%,3,29,21,6,3%,1%
S01006525,"Cults, Bieldside and Milltimber East",Aberdeen City,904,497,3%,31,4%,18,45,57,38,44,13%,0.09,66,92%,6.30,14,2%,30%,7.092149123,2.269830827,3.018486842,3.627428571,8.427399749,2.073387097,8.552944862,6.89502193,14.2262782,7%,6,67,26,4,3%,1%
S01006526,Garthdee,Aberdeen City,924,670,12%,115,8%,52,90,119,68,123,17%,0.05,126,72%,4.58,105,3%,2%,4.558522727,3.012039911,3.255920177,3.899104478,5.451172395,5.993989899,8.044681264,9.988115299,10.63574002,0%,6,66,160,5,18%,1%
S01006527,Garthdee,Aberdeen City,756,508,16%,122,12%,59,120,161,258,111,19%,0.04,124,73%,4.96,138,5%,4%,3.390329429,1.756039531,3.006885066,3.510115207,4.303938507,6.008277311,6.665065886,10.62077965,10.24193265,16%,19,255,77,0,11%,0%
S01006528,Garthdee,Aberdeen City,1154,829,9%,109,6%,51,90,126,46,106,15%,0.07,112,83%,5.39,85,1%,4%,3.054610735,1.903138298,2.505130561,2.804954128,3.903742747,6.699384615,7.070664894,9.177727273,9.68428675,2%,20,176,159,6,16%,1%
S01006529,Garthdee,Aberdeen City,932,680,9%,85,5%,35,75,98,13,107,15%,0.10,87,83%,5.28,84,10%,5%,1.860122768,3.559179688,1.721908482,2.078869048,2.41672154,6.1225,11.51890904,7.406037946,9.100535714,20%,38,413,157,38,18%,4%
S01006530,Garthdee,Aberdeen City,785,548,15%,116,11%,61,100,117,115,163,20%,0.00,106,71%,4.62,129,7%,5%,2.366029801,2.40636755,1.26863245,1.444261364,3.203874172,7.115810811,9.386370861,3.880596026,9.759566225,0%,21,271,110,19,15%,3%
S01006531,Garthdee,Aberdeen City,946,655,18%,166,11%,72,120,187,165,109,18%,0.13,140,61%,4.57,151,8%,4%,2.839160584,2.10020073,1.463813869,2.099398907,3.667906674,6.929527559,8.020531804,4.773555787,9.941879562,0%,28,300,190,6,20%,1%
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,793,445,4%,32,4%,17,50,20,0,84,16%,0.00,69,*,5.50,25,2%,16%,2.428494624,3.099627016,1.978665995,2.093741259,2.984747984,5.398243243,11.9297211,7.594724462,9.795342742,0%,16,204,21,8,3%,1%
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,717,475,2%,11,2%,10,25,25,0,45,12%,0.05,58,90%,6.29,14,0%,24%,3.209729635,2.545294944,2.621474719,2.690366972,3.770488062,4.744569892,10.45063202,10.38981039,10.31365871,1%,11,155,3,1,0%,0%
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,956,625,2%,19,2%,11,20,38,14,93,11%,0.10,60,94%,5.69,21,0%,17%,3.072258242,3.105414835,2.414590659,1.555,3.612296703,4.322093023,10.42875549,7.648527473,8.302054945,0%,19,201,22,14,2%,2%
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1046,812,3%,27,3%,21,25,36,50,56,11%,0.07,69,87%,5.89,22,0%,12%,3.117304913,2.301327071,1.380050578,2.070460993,3.559884393,5.036228814,8.559971098,4.466233141,6.447160405,0%,15,145,109,23,11%,2%
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,1003,827,4%,43,4%,30,40,81,28,69,13%,0.03,67,85%,5.67,31,3%,7%,3.900465517,1.98932266,1.444758621,2.509882353,2.993581281,4.421100917,6.68029803,4.375844828,5.419445813,0%,36,363,164,38,16%,4%
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,920,497,2%,14,1%,7,35,119,265,111,18%,0.03,74,*,6.24,26,2%,19%,3.877924403,3.100414456,2.455285146,3.652395833,6.325079576,2.774539474,11.44196286,8.65926061,16.12187666,6%,*,*,22,3,3%,0%
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,548,335,1%,8,2%,7,30,51,0,52,13%,0.00,75,*,5.91,26,3%,27%,4.713242531,3.465663445,3.236753076,4.692831858,6.103831283,4.0815,14.20115114,11.09264938,15.8005536,0%,*,*,14,4,2%,1%
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,781,462,2%,19,3%,12,35,0,0,100,15%,0.05,71,*,6.38,26,1%,19%,3.012018072,2.958467202,2.267560241,2.332906977,3.569986613,5.231349206,12.20336345,8.638273092,11.24626841,0%,5,65,19,6,3%,1%
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,933,633,2%,18,3%,19,35,23,0,65,13%,0.03,54,93%,5.81,25,0%,21%,3.674369792,2.799341146,2.425992188,3.268133803,4.599348958,4.986012658,12.48683854,10.0948099,13.15819531,0%,8,87,57,14,6%,1%
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,864,468,3%,29,3%,14,55,14,0,78,15%,0.06,72,*,6.14,27,0%,29%,3.168832709,2.214157303,1.724169788,3.140675676,5.570564919,3.532794118,9.138458177,7.129266542,14.82622659,0%,3,35,20,1,2%,0%
S01006542,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1131,664,1%,12,2%,12,30,23,15,58,11%,0.03,61,*,5.30,31,0%,25%,2.613948551,3.192882118,2.547512488,2.262716049,7.180457043,4.979934211,10.71416084,7.789428072,18.26533467,12%,8,72,27,11,3%,1%
S01006543,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,792,453,2%,13,2%,9,40,66,22,63,16%,0.07,74,94%,6.07,22,2%,20%,3.273252823,3.001508783,2.331449184,2.780340909,6.82923463,3.728901099,10.31302384,7.554548306,17.59473651,0%,*,*,9,0,1%,0%
S01006544,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1283,862,2%,21,1%,7,30,21,20,103,13%,0.04,60,*,5.75,33,0%,24%,1.988146592,1.905018674,2.206521942,3.064555556,4.455602241,3.426079545,6.101057423,10.04674837,12.71622549,6%,3,24,108,4,11%,0%
S01006545,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1120,731,3%,28,3%,20,35,42,75,90,13%,0.14,68,89%,6.11,24,0%,12%,3.057223005,1.329333333,1.722251174,3.484305556,4.803565728,3.937478632,5.696988263,6.803485915,11.16000939,10%,19,172,61,18,6%,2%
S01006546,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,624,387,2%,10,3%,11,35,22,48,86,12%,0.00,67,*,6.67,21,0%,32%,1.631150794,1.192714286,1.002801587,2.618470588,5.235178571,4.195342466,5.503174603,4.141738095,12.76071825,0%,*,*,5,6,1%,1%
S01006547,Hazlehead,Aberdeen City,1242,752,8%,95,7%,52,65,139,124,81,14%,0.00,82,95%,6.13,50,2%,18%,4.357359427,5.885650496,4.203412348,3.914563107,7.721052922,4.789619565,15.07820424,16.58892089,21.8429989,15%,39,318,64,18,7%,2%
S01006548,Hazlehead,Aberdeen City,658,361,2%,11,2%,8,25,5,0,64,13%,0.00,74,*,6.08,21,2%,21%,1.861262136,3.822742718,3.339934119,3.592263158,7.011931345,5.679677419,13.9339251,9.488356449,21.56981969,4%,*,*,14,8,2%,1%
S01006549,Hazlehead,Aberdeen City,796,503,1%,7,1%,6,35,38,0,76,13%,0.06,58,*,6.40,25,0%,28%,1.914207768,3.189596178,3.131109741,2.821213592,4.77676942,3.808931624,9.742188656,11.98329223,14.84860974,26%,8,102,35,1,4%,0%
S01006550,Hazlehead,Aberdeen City,900,508,1%,9,2%,8,30,19,0,105,17%,0.00,68,100%,6.27,22,0%,23%,1.383347413,3.255390707,2.820401267,3.323440367,6.131003168,5.091637931,10.91463041,9.233695882,17.80254488,28%,8,90,23,2,3%,0%
S01006551,Hazlehead,Aberdeen City,704,431,17%,120,18%,76,115,307,63,84,21%,0.05,135,86%,5.50,108,5%,12%,3.085221014,5.001706522,3.321311594,2.472348837,6.131623188,3.033378378,10.6077029,13.79436594,16.90350725,0%,49,690,100,24,14%,3%
S01006552,Hazlehead,Aberdeen City,884,585,3%,28,3%,15,25,62,15,36,12%,0.06,66,87%,5.71,39,0%,11%,3.460364943,4.742206897,2.898784483,2.819609375,5.489376437,3.398030303,12.80383333,13.46704885,18.06412069,0%,9,103,17,5,2%,1%
S01006553,Summerhill,Aberdeen City,903,508,5%,41,5%,24,75,20,20,105,18%,0.04,93,*,5.88,62,1%,12%,2.927092199,3.770859929,2.342969858,2.132436364,4.063596336,5.608704663,9.420933806,7.324379433,12.54711584,17%,11,123,59,5,7%,1%
S01006554,Summerhill,Aberdeen City,777,491,9%,73,7%,33,65,26,35,109,17%,0.08,86,87%,5.29,81,0%,9%,1.903367275,2.660635534,2.019543539,2.266756757,3.289803371,4.838170732,8.847703652,6.66815309,13.07671348,0%,41,521,94,8,14%,1%
S01006555,Summerhill,Aberdeen City,732,537,14%,101,15%,81,130,247,488,171,18%,0.03,146,78%,4.81,116,5%,9%,4.473998771,4.270795455,1.672088452,2.773055556,4.693071253,4.548670886,10.9717199,7.097911548,14.39730344,0%,54,733,148,11,19%,1%
S01006556,Summerhill,Aberdeen City,804,497,16%,130,13%,63,115,75,166,117,22%,0.03,121,86%,5.32,108,7%,12%,3.424779236,3.455632458,1.604683771,1.666558603,3.761345465,5.345,7.782270286,5.344570406,10.87370823,0%,19,239,135,8,16%,1%
S01006557,Summerhill,Aberdeen City,679,425,17%,116,16%,65,150,207,145,114,24%,0.06,155,77%,5.08,124,6%,4%,5.158837375,4.650445792,1.687154066,3.54553125,5.267639087,4.875454545,13.24256776,5.995777461,17.53477175,0%,15,224,98,3,14%,0%
S01006558,Midstocket,Aberdeen City,596,427,3%,15,3%,12,35,25,0,68,14%,0.05,58,*,*,26,0%,12%,3.657877814,2.001937299,1.605530547,2.787333333,2.165803859,3.705671642,5.702684887,4.513681672,5.879549839,0%,9,153,58,23,9%,4%
S01006559,Midstocket,Aberdeen City,601,404,1%,9,1%,6,25,6,0,70,11%,0.00,55,*,6.00,11,0%,20%,3.070374794,2.019402801,1.129069193,2.588,2.52410626,2.7426,5.654934102,3.94830313,8.380560132,0%,8,135,38,1,6%,0%
S01006560,Midstocket,Aberdeen City,1018,641,2%,20,1%,8,35,48,14,101,13%,0.05,74,93%,6.08,16,2%,21%,2.230994676,1.636882865,1.034213456,1.973897959,3.11249516,3.082388535,5.598291384,3.972398354,9.002454017,3%,8,80,37,10,4%,1%
S01006561,Midstocket,Aberdeen City,728,443,1%,7,1%,5,25,88,0,56,12%,0.14,55,94%,6.09,21,4%,19%,2.141475196,0.946129243,1.195084856,1.792278481,3.347885117,3.685230769,3.69593342,3.980339426,9.246155352,0%,12,167,22,1,3%,0%
S01006562,Midstocket,Aberdeen City,972,612,6%,60,8%,46,80,78,16,90,13%,0.03,97,84%,5.79,52,0%,27%,1.661845404,2.216180362,2.447865599,2.31868984,4.226368384,4.078608696,8.782827298,9.519777159,14.63821727,12%,14,146,56,6,8%,1%
S01006563,Midstocket,Aberdeen City,677,395,4%,25,4%,17,60,11,0,390,13%,0.00,86,88%,6.00,39,0%,29%,2.874788136,1.559512712,1.503296005,2.580429448,3.28222155,3.968157895,6.062182203,6.612303269,9.453038741,1%,95,1406,94,11,11%,1%
S01006564,Rosemount,Aberdeen City,1007,791,10%,105,9%,70,90,71,65,101,17%,0.02,90,75%,5.31,91,5%,8%,4.348021363,1.504117497,2.424145473,1.65594697,2.837377925,1.674447674,4.681192777,7.226251272,7.757843337,0%,30,302,212,37,22%,4%
S01006565,Rosemount,Aberdeen City,1000,888,9%,89,7%,60,75,93,61,107,12%,0.02,73,71%,*,69,9%,2%,3.437315283,1.652932692,2.90805668,1.416363636,2.555956478,2.376583333,4.969478745,7.333165486,7.743970142,12%,22,223,277,51,33%,6%
S01006566,Rosemount,Aberdeen City,761,618,5%,39,4%,24,40,26,68,76,12%,0.03,75,88%,5.92,39,0%,8%,3.87824967,1.250392999,3.003173712,2.041511628,1.819970277,2.18049505,4.264299868,7.332027741,5.424782034,0%,20,266,96,22,13%,3%
S01006567,Rosemount,Aberdeen City,744,607,13%,94,13%,76,100,144,123,100,17%,0.04,102,77%,*,69,4%,2%,4.123865269,1.196901198,3.017568862,1.845470588,2.552113772,1.539135802,2.90905988,6.03458982,5.858263473,6%,27,367,223,48,27%,6%
S01006568,Rosemount,Aberdeen City,921,823,3%,28,3%,26,40,57,29,79,11%,0.06,60,76%,5.43,26,5%,7%,4.188415493,1.504358072,2.102378115,2.749518072,1.895590466,1.322426471,3.938653846,4.5781961,4.876663055,0%,24,264,185,45,20%,5%
S01006569,Rosemount,Aberdeen City,561,444,6%,33,6%,28,70,92,20,79,12%,0.04,76,*,6.00,17,0%,6%,3.824452297,1.986082155,1.743674912,3.175125,1.492977032,2.329365079,4.663493816,4.074461131,4.800865724,0%,9,162,93,17,16%,3%
S01006570,Rosemount,Aberdeen City,739,537,1%,11,2%,9,20,0,0,66,10%,0.06,62,*,6.31,33,0%,15%,3.618204804,2.079115044,1.556264223,2.98,2.325436157,2.045515464,5.408429204,4.684266751,7.820221239,0%,9,123,57,11,7%,1%
S01006571,West End North,Aberdeen City,911,635,3%,26,2%,15,25,66,0,54,9%,0.03,73,93%,6.33,20,3%,21%,4.271230293,1.436010698,2.130982545,2.274770992,2.561765203,2.090335968,4.213364302,6.477573198,7.465067568,0%,54,589,56,29,6%,3%
S01006572,West End North,Aberdeen City,957,622,1%,6,1%,6,15,56,0,47,10%,0.00,58,*,6.56,15,0%,41%,1.891323204,2.303941989,2.566063536,2.737295082,4.097867403,3.074198113,10.0818674,11.01855249,14.70649171,5%,15,159,27,6,3%,1%
S01006573,West End North,Aberdeen City,790,535,2%,12,1%,5,15,120,19,31,8%,0.00,70,92%,6.17,17,0%,28%,3.085583564,2.049744475,1.928290746,2.658068182,3.304637431,2.553554217,7.037368785,8.416274171,11.13236878,0%,5,64,13,6,2%,1%
S01006574,West End North,Aberdeen City,1017,661,2%,20,1%,6,20,44,14,97,9%,0.06,54,*,6.45,14,0%,24%,3.62753996,1.678429071,2.930996503,2.386048951,3.240996503,2.23405303,5.084725275,10.08556693,10.00972278,20%,31,309,32,9,3%,1%
S01006575,West End South,Aberdeen City,981,697,1%,8,1%,6,15,44,12,44,8%,0.05,55,*,6.52,28,0%,16%,4.150212934,2.331811251,2.991046267,2.600925926,3.602528917,2.985990991,7.234258675,8.278133544,8.429195584,0%,13,134,37,9,4%,1%
S01006576,West End South,Aberdeen City,730,527,2%,12,3%,16,30,53,0,72,10%,0.00,67,92%,6.17,13,0%,17%,4.918229749,2.700855447,3.017765363,1.738169935,2.98777933,3.41377451,8.114074721,8.644811453,6.933756983,0%,30,416,45,8,6%,1%
S01006577,West End South,Aberdeen City,814,608,2%,20,3%,17,35,58,13,60,12%,0.03,77,*,5.80,16,0%,18%,4.159668401,1.691677503,2.89573472,2.016946903,2.426527958,2.150970588,5.756261378,7.514626138,6.438263979,0%,12,149,101,24,13%,3%
S01006578,West End South,Aberdeen City,1105,950,5%,51,4%,40,50,150,105,77,11%,0.00,76,81%,6.00,51,2%,6%,5.191097172,2.077748631,2.576507755,1.632067308,1.987821624,2.887546296,6.626943431,6.746822536,5.062176095,0%,21,192,220,49,21%,5%
S01006579,West End South,Aberdeen City,1048,922,3%,33,3%,29,30,80,32,84,8%,0.02,59,*,6.60,29,4%,5%,4.846903527,2.347964212,2.241903527,2.249047619,1.70717583,3.192808219,6.384740664,5.654372407,4.03033195,0%,19,184,171,33,18%,3%
S01006580,West End South,Aberdeen City,724,585,4%,28,3%,20,35,94,0,83,10%,0.03,87,85%,6.56,28,2%,29%,4.900690377,1.402894003,2.961460948,2.003543689,1.588870293,2.277743056,5.712217573,7.629494421,4.823092748,0%,12,168,107,35,15%,5%
S01006581,West End South,Aberdeen City,949,648,1%,7,2%,10,25,37,15,48,9%,0.00,61,91%,6.54,16,0%,21%,3.772446569,1.784350394,2.595717098,2.66733871,3.933787964,3.032241379,6.772083802,7.970677728,9.85943757,0%,4,43,24,15,3%,2%
S01006582,City Centre West,Aberdeen City,820,705,4%,35,4%,25,35,170,152,59,9%,0.02,73,*,*,53,24%,4%,4.058831803,2.705720436,1.522221584,2.442611111,2.453642365,3.788653846,4.922950631,4.356354765,5.380091848,54%,308,3754,146,45,18%,6%
S01006583,City Centre West,Aberdeen City,695,616,5%,33,3%,16,25,51,27,186,8%,0.04,59,72%,4.67,37,8%,1%,4.207524579,2.529360955,1.696731039,2.222051282,1.500635534,3.892573529,6.077198034,4.911214888,4.026369382,8%,16,233,104,21,15%,3%
S01006584,City Centre West,Aberdeen City,612,534,2%,13,3%,15,25,56,0,54,10%,0.11,74,*,*,40,5%,4%,5.299271497,0.893797771,1.684796975,1.566639344,3.103164809,1.808888889,2.814562102,5.10160828,7.116719745,1%,14,232,130,27,21%,4%
S01006585,City Centre West,Aberdeen City,831,651,12%,97,11%,74,110,256,185,124,15%,0.09,128,82%,5.13,119,0%,9%,5.206688679,1.431320755,1.328327044,1.530879121,3.018650943,2.086382979,4.672006289,4.416301887,6.315575472,4%,83,999,186,46,23%,6%
S01006586,City Centre West,Aberdeen City,1049,854,8%,85,5%,46,90,84,103,122,14%,0.00,85,75%,5.80,85,0%,2%,4.131236506,1.843447007,2.280772816,2.003642857,2.565370461,2.395689655,4.130257605,5.386243867,5.569087341,41%,374,3562,250,76,25%,7%
S01006587,City Centre East,Aberdeen City,571,500,14%,81,13%,66,110,366,86,223,16%,0.04,139,*,*,81,7%,4%,3.247935993,2.157782931,3.21945269,2.54,3.126818182,4.335,6.527745826,6.699981447,6.170816327,30%,202,3529,140,55,26%,10%
S01006588,City Centre East,Aberdeen City,626,571,6%,38,6%,32,65,132,45,25,8%,0.13,76,64%,*,46,0%,2%,3.557018739,2.489987223,1.575787905,3.243172043,1.303074957,3.208636364,5.286835605,3.32451448,2.670425894,12%,272,4351,203,53,35%,9%
S01006589,City Centre East,Aberdeen City,680,572,9%,58,7%,37,50,69,14,97,10%,0.03,84,*,*,91,6%,2%,2.769101906,2.416044721,1.56880132,1.741445783,2.651818182,4.6775,7.744343842,4.173870968,7.7783761,3%,96,1415,186,43,27%,6%
S01006590,City Centre East,Aberdeen City,801,718,8%,61,7%,48,75,219,236,66,13%,0.00,90,64%,4.40,55,30%,3%,3.250042796,2.11996077,2.228388017,2.092105263,2.639154779,3.983023256,5.190902282,5.251305278,4.932631954,21%,57,708,171,46,27%,7%
S01006591,Ferryhill North,Aberdeen City,744,622,6%,45,6%,34,55,245,175,111,12%,0.00,93,83%,5.50,47,13%,6%,2.513710884,1.543928571,2.818748299,1.336513158,3.060714286,4.673518519,6.007142857,7.730435374,7.067132653,0%,22,299,181,7,26%,1%
S01006592,Ferryhill North,Aberdeen City,742,649,1%,10,1%,10,15,42,12,68,7%,0.00,55,*,*,20,0%,11%,1.54225,2.419408088,2.802849265,2.281415094,3.0474375,6.003666667,10.25758088,10.73383456,10.10245588,0%,10,136,63,23,9%,3%
S01006593,Ferryhill North,Aberdeen City,837,694,3%,24,2%,15,25,24,0,38,7%,0.03,51,80%,5.43,26,0%,13%,1.98851888,1.821080729,3.07827474,1.614367816,3.477027995,5.431442308,7.515677083,9.049798177,7.919817708,0%,12,145,94,24,13%,3%
S01006594,Ferryhill North,Aberdeen City,534,369,3%,17,3%,13,35,81,0,80,11%,0.05,51,*,*,45,0%,12%,3.649475881,1.226317254,1.098000928,2.837946429,3.473520408,4.9225,4.967750464,3.746178108,5.33135436,0%,12,228,61,13,11%,2%
S01006595,Ferryhill North,Aberdeen City,956,808,4%,38,3%,28,45,80,40,108,13%,0.09,64,*,5.56,41,4%,6%,3.90757227,1.868171842,2.076913812,2.006946903,2.600390792,4.818584906,7.038851713,7.248811563,7.0575803,0%,7,74,110,33,12%,4%
S01006596,Ferryhill North,Aberdeen City,784,568,2%,13,2%,10,30,73,0,92,11%,0.00,71,*,*,40,0%,25%,3.035558621,1.897882759,2.757968966,1.223189189,3.46932069,5.346428571,7.028627586,8.774324138,8.229337931,0%,11,142,83,20,12%,3%
S01006597,Ferryhill North,Aberdeen City,530,467,7%,37,7%,35,60,83,16,122,13%,0.07,109,*,*,40,19%,10%,4.069274038,1.755375,1.693009615,2.425789474,2.258278846,4.291756757,5.353057692,3.956125,4.0384375,0%,32,611,104,46,20%,9%
S01006598,Ferryhill South,Aberdeen City,1017,684,1%,10,2%,14,20,18,24,43,10%,0.03,67,93%,5.82,22,2%,16%,2.575833333,2.331052769,3.292591432,2.500317919,3.983382968,6.682086957,8.794425287,11.61689133,11.12417189,0%,17,169,38,8,4%,1%
S01006599,Ferryhill South,Aberdeen City,812,621,11%,90,10%,63,100,120,282,97,18%,0.06,98,*,4.50,82,5%,3%,2.237091078,3.369553903,1.366902107,3.091346154,2.793475836,6.792666667,9.236713135,3.768175341,6.47505886,28%,26,324,108,20,13%,2%
S01006600,Ferryhill South,Aberdeen City,1238,862,4%,45,3%,23,50,44,152,136,15%,0.08,65,90%,5.80,31,1%,8%,2.597872727,2.007565909,1.096306818,2.979570707,3.154084091,5.973067485,8.330886364,4.139356818,7.0143,0%,17,139,114,22,11%,2%
S01006601,Ferryhill South,Aberdeen City,1038,801,6%,58,7%,53,55,69,105,83,14%,0.00,74,85%,5.19,40,2%,7%,3.214518463,1.289745509,1.127637226,2.775185874,3.714820359,5.533390805,6.218922156,4.450783433,7.085823353,0%,17,166,137,22,14%,2%
S01006602,Ferryhill South,Aberdeen City,896,572,4%,33,2%,12,30,73,58,90,12%,0.02,55,85%,6.40,17,1%,27%,3.085776451,1.298771331,2.434146758,2.306644444,3.923148464,6.060969388,5.447189989,8.509254835,8.704644482,0%,*,*,25,3,3%,0%
S01006603,"Kincorth, Leggart and Nigg North",Aberdeen City,803,502,16%,126,17%,85,140,134,108,152,24%,0.03,131,72%,5.17,142,8%,2%,1.920229682,3.341160188,1.835503534,3.067515152,4.148733804,7.205456432,9.81369258,3.848639576,16.06598645,2%,38,479,117,8,14%,1%
